application_id,pan_number,applicant_name,employer_name,employer_type,employment_tenure_years,gross_salary,total_deductions,declared_income,income_stability,existing_emi_total,bank_balance,bounce_count,statement_months,spending_ratio,negative_month_count,cibil_score,negative_items_count,oldest_account_years,inquiries_12m,accounts_good_standing,derogatory_marks,requested_loan_amount,requested_tenure_months,aadhaar_number,date_of_birth,phone_number,email,address,verified_income,income_mismatch_flag,default_flag,written_off_flag,credit_enquiries_6m,interest_rate,proposed_emi,dti_ratio,data_consistency_flag,ocr_confidence_score,document_consistency_flag,decision,risk_category,decision_reason_codes,confidence_score,hil_required_flag,application_date
APP000011,KPQUJ9254S,Poornima Verma,GAIL,Public Sector,11,263709,54778,205987,High,11777,666936,1,6,0.85,3,726,0,7,6,6,1,799000,72,334123281206,1964-03-23,8597403447,pverma@yahoo.com,"Flat 558, B Wing, Shanti Apartments, Banjara Hills, Delhi, Delhi - 378536",236756,TRUE,FALSE,FALSE,2,13.93,16434.05,0.119,FALSE,98.99,TRUE,REVIEW,MEDIUM,INCOME_MISMATCH,80.28,TRUE,2025-11-13
APP000012,BTMQX1564C,Manish Nair,Freelance Consultant,Self-Employed,2,82910,16405,57567,Medium,4682,169490,1,3,0.6,0,665,1,14,6,6,1,518000,48,512567468071,1976-11-20,8945168087,mnair@outlook.com,"Flat 779, B Wing, Krishna Residency, Adyar, Ahmedabad, Gujarat - 380029",73910,TRUE,FALSE,FALSE,2,11.85,13602.81,0.247,TRUE,96.73,TRUE,REJECT,MEDIUM,INCOME_MISMATCH,94.05,TRUE,2026-02-18
APP000013,WHUKY5822S,Swati Shetty,ICICI Bank,Startup,3,213032,58510,173074,Medium,32166,102206,0,12,1.17,3,460,11,4,5,0,6,1615000,72,787558867533,1972-02-24,8163605766,swati137@yahoo.com,"Flat 896, D Wing, Shanti Complex, Malviya Nagar, Delhi, Delhi - 204556",202309,TRUE,FALSE,TRUE,6,17.45,36334.22,0.339,TRUE,52.51,FALSE,REJECT,HIGH,LOW_CREDIT_SCORE|INCOME_MISMATCH|DOCUMENT_INCONSISTENCY|ADVERSE_CREDIT_HISTORY|WRITTEN_OFF_ACCOUNT,61.88,TRUE,2025-12-04
APP000014,AIBJL2461F,Anjali Pandey,Freelance Consultant,Self-Employed,5,61616,18419,52122,High,1063,135695,0,6,1.1,1,595,3,4,6,3,3,318000,36,379237474074,1978-06-26,8221759464,anjali.pandey@hotmail.com,"Flat 391, C Wing, Krishna Paradise, Viman Nagar, Hyderabad, Telangana - 702734",54184,FALSE,FALSE,FALSE,5,17.15,11361.32,0.229,TRUE,73.81,TRUE,REVIEW,MEDIUM,LOW_CREDIT_SCORE,90.45,TRUE,2025-11-03
APP000015,KFUWJ5219P,Nikhil Mishra,Indian Railways,Public Sector,3,172317,33940,129787,Medium,36210,282392,0,12,1.03,4,745,1,12,6,5,1,1298000,12,712368516048,1982-03-11,9675496513,nikhilmishra@gmail.com,"Flat 651, C Wing, Lakshmi Complex, Malviya Nagar, Delhi, Delhi - 835133",168406,TRUE,FALSE,FALSE,0,13.42,116189.75,0.905,TRUE,76.85,TRUE,REJECT,MEDIUM,HIGH_DTI|INCOME_MISMATCH,86.4,TRUE,2025-11-27
APP000016,JXQBH9980G,Suresh Sharma,Self Employed,Self-Employed,8,69962,12020,54378,High,12787,240635,0,12,0.87,3,553,2,9,9,1,2,469000,36,329318393352,1999-11-15,8004228421,suresh115@outlook.com,"Flat 179, D Wing, Royal Tower, Andheri, Mumbai, Maharashtra - 232916",63449,TRUE,FALSE,FALSE,4,16.43,16588.39,0.463,TRUE,88.36,TRUE,REJECT,HIGH,LOW_CREDIT_SCORE|INCOME_MISMATCH|EXCESSIVE_INQUIRIES,91.78,TRUE,2025-11-27
APP000017,ZNLPC7867X,Deepika Malhotra,Google India,MNC,4,208656,51421,201497,Medium,68593,309749,1,3,1.09,1,621,6,2,3,3,3,780000,36,657661565452,1975-01-14,8411116152,deepika700@rediffmail.com,"Flat 421, A Wing, Krishna Tower, Satellite, Delhi, Delhi - 856087",202393,FALSE,FALSE,FALSE,5,15.4,27191.99,0.473,TRUE,89.06,TRUE,REVIEW,MEDIUM,LOW_CREDIT_SCORE|ADVERSE_CREDIT_HISTORY,87.39,TRUE,2026-03-31
APP000018,ZCNJL1339T,Anjali Thakur,HDFC Bank,MNC,1,68456,15474,57596,Low,18614,138943,2,6,0.46,0,708,0,9,5,6,1,298000,12,290147679764,2000-02-14,9381561497,anjali.thakur@rediffmail.com,"Flat 210, B Wing, Krishna Tower, Adyar, Mumbai, Maharashtra - 904625",66132,TRUE,FALSE,FALSE,3,12.42,26535.53,0.683,TRUE,61.5,FALSE,REVIEW,MEDIUM,HIGH_DTI|INCOME_MISMATCH|DOCUMENT_INCONSISTENCY,68.31,TRUE,2026-01-11
APP000019,LCLKC8727C,Vivek Shah,Tech Mahindra,MNC,3,79426,17771,80685,Medium,9052,208886,4,3,0.95,3,720,0,12,5,4,1,229000,12,835523124329,1995-08-07,9512779979,vshah@yahoo.com,"Flat 481, C Wing, Royal Heights, Salt Lake, Delhi, Delhi - 935013",78833,FALSE,FALSE,FALSE,1,12.58,20408.56,0.374,FALSE,98.49,TRUE,REVIEW,MEDIUM,HIGH_BOUNCE_RATE,75.25,TRUE,2025-11-12
APP000020,BSZNP3937V,Suresh Verma,Capgemini,MNC,7,146607,30664,109386,High,44828,302775,1,12,1.2,0,648,6,4,9,2,1,975000,24,515186449251,1962-06-16,8125462914,suresh.verma@rediffmail.com,"Flat 521, C Wing, Sai Tower, Andheri, Pune, Maharashtra - 480212",142200,TRUE,FALSE,FALSE,2,16.88,48150.01,0.654,TRUE,90.87,TRUE,REJECT,HIGH,LOW_CREDIT_SCORE|HIGH_DTI|INCOME_MISMATCH|ADVERSE_CREDIT_HISTORY|EXCESSIVE_INQUIRIES,96.66,TRUE,2025-12-22
APP000021,TUGGZ7916S,Kunal Chopra,Google India,Private Sector,8,52160,15280,57389,High,6860,38615,0,6,1.03,1,610,5,6,3,1,3,391000,60,886239240758,1984-10-24,9681412478,kunal193@yahoo.com,"Flat 425, C Wing, Sai Residency, Satellite, Mumbai, Maharashtra - 626393",51146,TRUE,FALSE,FALSE,1,16.11,9531.23,0.32,TRUE,78.73,TRUE,REVIEW,MEDIUM,LOW_CREDIT_SCORE|INCOME_MISMATCH|ADVERSE_CREDIT_HISTORY,84.06,TRUE,2026-02-04
APP000022,ULCXP0521N,Rahul Pandey,Reliance Industries,Startup,5,89353,14064,66541,High,6061,241002,3,6,1.24,4,719,3,8,1,4,1,172000,72,962185188888,1981-01-05,9867065405,rahul346@gmail.com,"Flat 46, B Wing, Lakshmi Tower, Gomti Nagar, Bangalore, Karnataka - 454993",75167,TRUE,FALSE,FALSE,1,12.16,3376.96,0.126,TRUE,95.8,TRUE,REJECT,MEDIUM,INCOME_MISMATCH|HIGH_BOUNCE_RATE,96.07,TRUE,2026-04-25
APP000023,KZMMY5870T,Neha Kapoor,Central Government,Government,22,118875,26676,90222,High,30497,237888,1,6,0.68,2,664,0,9,2,6,2,270000,84,115447962757,1984-11-24,9959640165,nkapoor@rediffmail.com,"Flat 130, C Wing, Krishna Residency, Adyar, Mumbai, Maharashtra - 916333",99915,TRUE,FALSE,FALSE,3,11.91,4753.25,0.353,FALSE,78.28,TRUE,REVIEW,MEDIUM,INCOME_MISMATCH,75.46,TRUE,2026-02-04
APP000024,DWLXL0683L,Vikram Kapoor,Tech Mahindra,Startup,12,118623,32972,83642,High,7468,397286,0,3,1.15,1,670,2,7,2,6,2,360000,72,422583132370,1968-12-14,8889578291,vkapoor@rediffmail.com,"Flat 844, C Wing, Shanti Paradise, Koramangala, Pune, Maharashtra - 231415",102610,TRUE,FALSE,FALSE,2,14.35,7485.7,0.146,TRUE,87.82,TRUE,REVIEW,MEDIUM,INCOME_MISMATCH,87.24,TRUE,2026-02-21
APP000025,PPEQX3908C,Amit Shah,Microsoft India,Private Sector,8,145245,25879,172282,High,2698,505391,2,6,0.62,1,623,4,9,5,4,1,339000,48,396907844736,1966-12-28,9071027677,amit721@yahoo.com,"Flat 999, C Wing, Royal Heights, Banjara Hills, Kolkata, West Bengal - 897616",133262,TRUE,TRUE,FALSE,4,16.02,9610.83,0.092,TRUE,51.26,FALSE,REJECT,HIGH,LOW_CREDIT_SCORE|INCOME_MISMATCH|DOCUMENT_INCONSISTENCY|PAST_DEFAULT,63.7,TRUE,2026-03-21
APP000026,RMNWL8773M,Sneha Rao,Coal India,Public Sector,18,87226,15919,86642,High,30788,233828,0,6,0.86,4,740,4,8,4,4,1,612000,60,584168784991,1968-02-02,9516558523,sneha.rao@rediffmail.com,"Flat 141, D Wing, Royal Plaza, Viman Nagar, Mumbai, Maharashtra - 943020",77699,TRUE,FALSE,FALSE,0,12.08,13638.36,0.572,FALSE,64.92,FALSE,REVIEW,MEDIUM,HIGH_DTI|INCOME_MISMATCH|DOCUMENT_INCONSISTENCY,50.94,TRUE,2026-02-22
APP000027,ZPFBM5773V,Shreya Verma,HCL Technologies,MNC,10,164878,50162,108947,High,38856,389014,0,6,0.71,2,723,4,7,4,3,1,1065000,12,130756263689,1966-05-19,8402838578,shreya277@hotmail.com,"Flat 363, D Wing, Sai Plaza, Salt Lake, Jaipur, Rajasthan - 739712",137806,TRUE,FALSE,FALSE,2,12.21,94728.62,0.969,TRUE,83.89,TRUE,REVIEW,MEDIUM,HIGH_DTI|INCOME_MISMATCH,87.08,TRUE,2025-12-31
APP000028,YSDQP2656B,Arjun Malhotra,Defence Services,Government,7,185570,32016,182176,High,11614,347332,0,3,0.41,2,622,3,3,9,3,1,1410000,48,120826773454,1981-09-09,9919380262,arjun906@hotmail.com,"Flat 10, C Wing, Lakshmi Tower, Koramangala, Mumbai, Maharashtra - 451318",178680,FALSE,FALSE,FALSE,4,15.29,39448.94,0.286,TRUE,76.83,TRUE,REVIEW,LOW,LOW_CREDIT_SCORE|EXCESSIVE_INQUIRIES,90,FALSE,2026-04-11
APP000029,HSAQS0134Q,Simran Pillai,Defence Services,Government,6,118738,19970,129167,High,21709,348041,0,12,0.77,4,868,2,5,0,5,1,689000,60,459332727956,1995-06-12,8278339187,simran.pillai@rediffmail.com,"Flat 925, B Wing, Sai Paradise, Adyar, Jaipur, Rajasthan - 700522",106336,TRUE,FALSE,FALSE,1,8.72,14209.06,0.338,TRUE,85.69,TRUE,REVIEW,LOW,INCOME_MISMATCH,86.28,TRUE,2026-01-20
APP000030,ZMHED6793M,Kunal Nambiar,HDFC Bank,Private Sector,20,64560,20946,58801,High,5571,20949,0,12,0.6,0,824,0,15,4,8,1,195000,24,182512868230,1978-10-29,9847868633,kunal.nambiar@hotmail.com,"Flat 829, A Wing, Sai Plaza, Satellite, Mumbai, Maharashtra - 744794",56911,FALSE,FALSE,FALSE,2,11.46,9130.23,0.258,TRUE,77.98,TRUE,APPROVE,LOW,MEETS_CRITERIA,88.55,FALSE,2025-12-20
APP000031,TEROB3635W,Ravi Malhotra,State Government,Government,18,87798,29975,67379,High,505,309608,4,3,1.07,3,478,7,5,8,2,5,342000,36,628733427086,1993-12-03,8688263435,ravimalhotra@hotmail.com,"Flat 275, B Wing, Royal Heights, Andheri, Mumbai, Maharashtra - 176320",82316,TRUE,FALSE,FALSE,6,18.8,12501.8,0.158,TRUE,68.06,FALSE,REJECT,HIGH,LOW_CREDIT_SCORE|INCOME_MISMATCH|HIGH_BOUNCE_RATE|DOCUMENT_INCONSISTENCY|ADVERSE_CREDIT_HISTORY,70.95,TRUE,2026-04-18
APP000032,FIBWT0557J,Kavita Reddy,Infosys,MNC,20,268363,66189,217176,High,46620,53784,1,3,0.42,2,686,0,4,6,3,2,1229000,24,693785477725,1982-01-11,9428728080,kavitareddy@gmail.com,"Flat 70, B Wing, Royal Plaza, Banjara Hills, Hyderabad, Telangana - 109586",238905,TRUE,FALSE,FALSE,3,11.67,57664.08,0.437,FALSE,77.75,TRUE,REVIEW,MEDIUM,INCOME_MISMATCH,71.34,TRUE,2026-02-22
APP000033,KOZFR8687C,Aisha Saxena,Coal India,Public Sector,14,300284,90422,227480,High,15764,1114074,1,12,1.07,2,861,0,17,2,7,0,2200000,36,700217659180,1978-07-31,9239740148,aishasaxena@gmail.com,"Flat 148, C Wing, Sai Complex, Satellite, Lucknow, Uttar Pradesh - 180675",281601,TRUE,FALSE,FALSE,2,8.59,69540.37,0.303,FALSE,84.23,TRUE,REJECT,MEDIUM,INCOME_MISMATCH,73.05,TRUE,2026-03-22
APP000034,LRRCQ7701W,Kavita Mishra,State Government,Government,24,126559,25778,149806,High,7011,100330,0,6,0.84,0,681,3,4,5,5,2,245000,48,511047541212,1978-11-28,8678886101,kavita195@rediffmail.com,"Flat 13, A Wing, Royal Tower, Satellite, Pune, Maharashtra - 506638",120100,TRUE,FALSE,FALSE,1,12.16,6471.05,0.112,FALSE,79.56,TRUE,REVIEW,MEDIUM,INCOME_MISMATCH,71.43,TRUE,2025-12-30
APP000035,WZDIY2399J,Nisha Rao,Freelance Consultant,Self-Employed,9,56421,18568,44818,High,11304,138174,0,3,0.99,2,728,0,15,6,4,2,109000,36,646519398280,1987-11-22,8537416724,nrao@hotmail.com,"Flat 460, D Wing, Royal Paradise, Malviya Nagar, Delhi, Delhi - 710528",52636,TRUE,FALSE,FALSE,3,11.78,3608.92,0.283,TRUE,89.94,TRUE,APPROVE,LOW,INCOME_MISMATCH,89.12,TRUE,2026-03-07
APP000036,MRRDZ4290X,Kavita Nair,Proprietorship,Self-Employed,15,107124,16164,101727,High,8476,124072,1,3,0.92,1,675,3,13,3,6,0,427000,48,738757177514,1983-11-14,9910512382,knair@hotmail.com,"Flat 817, D Wing, Lakshmi Heights, Banjara Hills, Hyderabad, Telangana - 295441",98649,FALSE,FALSE,FALSE,3,13.05,11465.94,0.202,FALSE,87.9,TRUE,REVIEW,MEDIUM,MEETS_CRITERIA,77.82,TRUE,2025-11-05
APP000037,HPCDD3165N,Suresh Patel,Cognizant,Private Sector,10,56105,10303,58570,High,9267,153067,2,12,0.86,4,889,1,18,3,4,0,132000,84,627828274225,1966-10-28,8590507236,spatel@hotmail.com,"Flat 728, B Wing, Shanti Complex, Malviya Nagar, Pune, Maharashtra - 612439",50658,TRUE,FALSE,FALSE,2,10.46,2222.86,0.227,FALSE,70.93,TRUE,REJECT,MEDIUM,INCOME_MISMATCH,68.21,TRUE,2026-03-22
APP000038,CWDVF7686N,Sanjay Pandey,Wipro,Private Sector,13,140895,45856,107582,High,22500,254165,1,12,0.48,3,639,4,5,9,4,1,458000,60,309584982544,1995-01-20,8148126042,spandey@yahoo.com,"Flat 146, D Wing, Lakshmi Paradise, Salt Lake, Ahmedabad, Gujarat - 758310",123707,TRUE,FALSE,FALSE,2,16.31,11213.25,0.273,TRUE,79.97,TRUE,APPROVE,MEDIUM,LOW_CREDIT_SCORE|INCOME_MISMATCH|EXCESSIVE_INQUIRIES,90.36,TRUE,2026-02-21
APP000039,CULDW4092W,Raj Thakur,BHEL,Public Sector,4,291811,65223,241565,Medium,34224,472992,2,3,0.98,1,894,0,11,3,8,0,1649000,24,241541520643,1961-12-10,8611037129,raj.thakur@yahoo.com,"Flat 837, B Wing, Lakshmi Residency, Satellite, Kolkata, West Bengal - 827745",285910,TRUE,FALSE,FALSE,1,11.26,77055.53,0.389,TRUE,76.3,TRUE,APPROVE,MEDIUM,INCOME_MISMATCH,91.15,TRUE,2025-11-16
APP000040,DSJLU2626X,Suresh Mehta,TCS,Private Sector,9,28675,8828,39138,High,5741,73339,1,6,0.78,3,887,2,7,2,5,0,144000,24,438983640376,2001-05-31,9637918055,suresh981@rediffmail.com,"Flat 700, A Wing, Shanti Apartments, Malviya Nagar, Jaipur, Rajasthan - 907789",28332,TRUE,FALSE,FALSE,0,11.42,6739.64,0.441,TRUE,87.01,TRUE,REVIEW,MEDIUM,INCOME_MISMATCH,93.4,TRUE,2026-03-28
APP000041,QILYG2916B,Simran Shetty,HDFC Bank,MNC,19,268761,67665,226716,High,4527,894206,0,6,0.73,1,654,4,8,6,3,2,1926000,36,102027588425,1961-02-13,9541056481,sshetty@hotmail.com,"Flat 369, B Wing, Krishna Residency, Malviya Nagar, Jaipur, Rajasthan - 694424",257020,TRUE,FALSE,FALSE,3,11.95,63924.78,0.266,TRUE,84.56,TRUE,APPROVE,MEDIUM,INCOME_MISMATCH,93.92,TRUE,2025-12-08
APP000042,UZYBM2835A,Meera Reddy,GAIL,Public Sector,18,190567,65729,158280,High,6023,99884,0,6,0.47,4,783,0,15,2,6,1,693000,36,493759738320,1984-07-23,8603850506,mreddy@yahoo.com,"Flat 985, C Wing, Shanti Residency, Banjara Hills, Ahmedabad, Gujarat - 846222",177354,TRUE,FALSE,FALSE,1,9.2,22101.78,0.159,TRUE,52.72,FALSE,REVIEW,MEDIUM,INCOME_MISMATCH|DOCUMENT_INCONSISTENCY,61.53,TRUE,2025-11-09
APP000043,IDJUL4808J,Suresh Verma,Accenture,Private Sector,15,134094,42356,146076,High,15058,41130,0,3,1.23,3,600,5,7,9,2,1,418000,24,213568044206,1989-11-20,8588317121,sureshverma@gmail.com,"Flat 382, C Wing, Shanti Plaza, Koramangala, Pune, Maharashtra - 710611",113541,TRUE,FALSE,FALSE,4,14.14,20097.04,0.31,TRUE,78.56,TRUE,REVIEW,MEDIUM,LOW_CREDIT_SCORE|INCOME_MISMATCH|ADVERSE_CREDIT_HISTORY|EXCESSIVE_INQUIRIES,87.39,TRUE,2025-11-03
APP000044,BHDFX5687M,Varun Agarwal,Municipal Corporation,Government,28,322148,50140,243489,High,76322,1035169,1,12,1.25,3,672,3,12,1,3,0,1405000,12,598564205930,1968-09-05,9107859321,varunagarwal@yahoo.com,"Flat 867, B Wing, Sai Complex, Satellite, Lucknow, Uttar Pradesh - 472040",272361,TRUE,FALSE,FALSE,0,12.16,124937.74,0.739,FALSE,79.88,TRUE,REJECT,HIGH,HIGH_DTI|INCOME_MISMATCH,70.32,TRUE,2025-12-28
APP000045,WBDSD1530W,Aisha Rao,NTPC,Public Sector,12,79991,25144,62005,High,17976,199290,0,3,0.64,1,594,4,9,3,4,1,490000,48,452267528953,1996-11-13,8126442209,aisha133@yahoo.com,"Flat 227, B Wing, Krishna Plaza, Koramangala, Lucknow, Uttar Pradesh - 620288",67072,FALSE,FALSE,TRUE,1,17.53,14273.69,0.481,TRUE,94.04,TRUE,REJECT,HIGH,LOW_CREDIT_SCORE|WRITTEN_OFF_ACCOUNT,95.94,TRUE,2025-11-17
APP000046,TFLUA0213M,Sanjay Mishra,Proprietorship,Self-Employed,8,30071,8349,38085,High,11285,57740,0,6,0.82,2,889,1,10,2,5,0,135000,36,159970629620,1998-07-28,9653368844,smishra@hotmail.com,"Flat 56, A Wing, Krishna Tower, Andheri, Bangalore, Karnataka - 548378",28876,TRUE,FALSE,FALSE,1,9.82,4344.67,0.541,FALSE,86.36,TRUE,REVIEW,MEDIUM,HIGH_DTI|INCOME_MISMATCH,72.1,TRUE,2026-04-16
APP000047,CRVKT2035R,Manish Rao,TCS,Startup,20,128551,29938,117014,High,7030,288685,2,3,1.23,0,618,4,9,7,4,2,340000,60,416089899217,1987-09-06,9423320616,manish954@rediffmail.com,"Flat 90, C Wing, Krishna Heights, Gomti Nagar, Delhi, Delhi - 516657",118598,FALSE,FALSE,FALSE,4,16.72,8398.77,0.13,TRUE,95.49,TRUE,APPROVE,MEDIUM,LOW_CREDIT_SCORE,95.45,TRUE,2026-03-11
APP000048,MGJIU3886H,Raj Mehta,Tech Mahindra,Startup,13,308537,61210,216568,High,53091,514626,4,6,0.93,2,683,0,5,1,2,1,1814000,24,469137367850,1974-11-27,8321486289,rajmehta@yahoo.com,"Flat 468, B Wing, Krishna Residency, Viman Nagar, Mumbai, Maharashtra - 838863",271543,TRUE,FALSE,FALSE,3,14,87095.37,0.516,TRUE,77.8,TRUE,APPROVE,MEDIUM,HIGH_DTI|INCOME_MISMATCH|HIGH_BOUNCE_RATE,87.13,TRUE,2026-01-31
APP000049,UTAXQ6028J,Ritika Malhotra,Microsoft India,Startup,5,188019,39319,239080,High,62036,297122,1,12,1.04,4,593,3,4,10,3,3,528000,12,743748969108,1978-11-12,8889944171,ritika755@outlook.com,"Flat 193, B Wing, Shanti Apartments, Gomti Nagar, Chennai, Tamil Nadu - 902659",171008,TRUE,FALSE,FALSE,3,15.88,47875.91,0.643,TRUE,86.21,TRUE,REJECT,HIGH,LOW_CREDIT_SCORE|HIGH_DTI|INCOME_MISMATCH|EXCESSIVE_INQUIRIES,94.57,TRUE,2026-03-31
APP000050,XRFFW4835O,Pooja Agarwal,Coal India,Public Sector,7,77279,13592,57084,High,11598,122458,0,6,0.74,0,743,2,13,3,2,0,428000,24,999173816846,1999-06-14,9922356972,pooja897@gmail.com,"Flat 321, D Wing, Krishna Plaza, Andheri, Bangalore, Karnataka - 104943",66853,TRUE,FALSE,FALSE,1,13.43,20434.45,0.479,TRUE,81.12,TRUE,APPROVE,MEDIUM,INCOME_MISMATCH,89.85,TRUE,2025-12-21
APP000051,VHHSP3893P,Varun Chauhan,Self Employed,Self-Employed,5,118227,24118,95164,High,25290,75292,2,3,0.86,0,663,3,11,5,4,0,433000,48,603323098215,1991-02-11,9964890901,vchauhan@hotmail.com,"Flat 127, B Wing, Sai Paradise, Salt Lake, Pune, Maharashtra - 597441",104395,FALSE,TRUE,FALSE,1,12.03,11408.93,0.352,TRUE,76.02,TRUE,REVIEW,MEDIUM,PAST_DEFAULT,91.39,TRUE,2026-04-24
